"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-23","92.3","-1.50","5.73","Trevor Bauer",669374,545333,"null","foul",,,,,"6","null","R","R","R","CIN","MIL","S","null","null",2,0,2020,"-0.5","1.6","0.82","2.20","null","null","null",0,7,"Top","null","null",,,"571466",,"null",6.881289446078471,-134.1194268446821,-6.643835668198996,-6.917988067800966,28.79453408050126,-11.528877244060402,"3.42","1.58","188","84.2","64","92.3","2661","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.15","null","null","null","null","null","null","null",50,"3","4-Seam Fastball",6,1,1,6,1,6,1,6,"Standard","Standard"
"FC","2020-09-23","84.1","-1.73","5.66","Trevor Bauer",669374,545333,"null","ball",,,,,"14","null","R","R","R","CIN","MIL","B","null","null",1,0,2020,"0.3","-0.1","1.05","1.20","null","null","null",0,7,"Top","null","null",,,"571466",,"null",5.922708672584782,-122.47084015365864,-3.870937206267668,1.641359237071868,22.101136244593924,-32.3324159538056,"3.33","1.47","null","null","null","84.3","3002","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.29","null","null","null","null","null","null","null",50,"2","Cutter",6,1,1,6,1,6,1,6,"Standard","Standard"
"FC","2020-09-23","84.0","-1.64","5.74","Trevor Bauer",669374,545333,"null","ball",,,,,"14","null","R","R","R","CIN","MIL","B","null","null",0,0,2020,"0.3","0.0","1.69","1.83","null","null","null",0,7,"Top","null","null",,,"571466",,"null",7.158148932240908,-122.20380274281783,-2.736231426466462,1.6143925780122548,21.1976303222652,-31.888642743243267,"3.37","1.57","null","null","null","84.4","2926","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.22","null","null","null","null","null","null","null",50,"1","Cutter",6,1,1,6,1,6,1,6,"Standard","Standard"
"KC","2020-09-23","83.3","-1.32","5.85","Trevor Bauer",596129,545333,"strikeout","swinging_strike_blocked",,,,,"14","Daniel Vogelbach strikes out swinging.  ","R","L","R","CIN","MIL","S",2,"null",1,2,2020,"1.0","-1.6","0.32","0.82",641924,"null",541645,2,6,"Top","null","null",,,"571466",,"null",1.7946585465973222,-121.27472510411566,-1.8935739802217675,9.310699488875258,28.253786883076547,-47.259240873184694,"3.28","1.60","null","null","null","82.7","3088","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.23","null","null","0.00",1,0,0,"null",46,"4","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","81.6","-1.78","5.52","Trevor Bauer",596129,545333,"null","called_strike",,,,,"5","null","R","L","R","CIN","MIL","S","null","null",1,1,2020,"1.6","-0.1","-0.24","2.62",641924,"null",541645,2,6,"Top","null","null",,,"571466",,"null",0.29896300620791527,-118.84161734447518,0.29305082301938024,15.505054456066352,24.069256088347693,-33.43815485237349,"3.30","1.57","null","null","null","81.3","2914","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.31","null","null","null","null","null","null","null",46,"3","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FF","2020-09-23","96.1","-1.42","5.64","Trevor Bauer",596129,545333,"null","ball",,,,,"8","null","R","L","R","CIN","MIL","B","null","null",0,1,2020,"-1.0","1.6","-0.21","1.54",641924,"null",541645,2,6,"Top","null","null",,,"571466",,"null",5.455873465909423,-139.60157301167425,-8.884546618318774,-14.245339441110445,33.19227725731073,-9.23223349291801,"3.32","1.51","null","null","null","95.9","2875","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.10","null","null","null","null","null","null","null",46,"2","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FF","2020-09-23","96.1","-1.46","5.64","Trevor Bauer",596129,545333,"null","foul",,,,,"8","null","R","L","R","CIN","MIL","S","null","null",0,0,2020,"-0.7","1.7","-0.06","1.96",641924,"null",541645,2,6,"Top","null","null",,,"571466",,"null",5.300310283928106,-139.62913714668795,-7.955066707758477,-10.533381932690917,35.10895897908419,-8.250098484951323,"3.28","1.60","135","72.4","71","95.7","2807","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.11","null","null","null","null","null","null","null",46,"1","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","82.3","-1.65","5.52","Trevor Bauer",576397,545333,"strikeout","swinging_strike",,,,,"14","Jedd Gyorko strikes out swinging.  ","R","R","R","CIN","MIL","S",2,"null",2,2,2020,"1.6","0.0","1.16","1.57",641924,"null",541645,1,6,"Top","null","null",,,"571466",,"null",3.343844252279762,-119.82308394575794,-2.31270486931349,14.310038009567435,25.049184833262238,-32.2500799661632,"3.30","1.50","null","null","null","82.2","3002","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.12","null","null","0.00",1,0,0,"null",45,"5","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"FF","2020-09-23","95.9","-1.46","5.76","Trevor Bauer",576397,545333,"null","called_strike",,,,,"9","null","R","R","R","CIN","MIL","S","null","null",2,1,2020,"-0.5","1.7","0.63","1.57",641924,"null",541645,1,6,"Top","null","null",,,"571466",,"null",6.745481733737516,-139.24060333943765,-9.211190819192513,-8.620405900976971,32.62906163905585,-8.597502070232439,"3.07","1.45","null","null","null","95.7","2827","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.12","null","null","null","null","null","null","null",45,"4","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","82.1","-1.64","5.56","Trevor Bauer",576397,545333,"null","blocked_ball",,,,,"14","null","R","R","R","CIN","MIL","B","null","null",1,1,2020,"1.7","0.0","2.08","0.59",641924,"null",541645,1,6,"Top","null","null",,,"571466",,"null",5.20437886763597,-119.42145385803985,-4.764125261286029,14.77128168340752,23.99582671579646,-31.028311283646918,"2.98","1.28","null","null","null","82.1","2988","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.12","null","null","null","null","null","null","null",45,"3","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","80.2","-1.65","5.50","Trevor Bauer",576397,545333,"null","foul",,,,,"2","null","R","R","R","CIN","MIL","S","null","null",1,0,2020,"1.7","0.0","-0.18","3.03",641924,"null",541645,1,6,"Top","null","null",,,"571466",,"null",0.1276378806281564,-116.7678927195885,1.3379866809380632,14.99663106990167,24.13601513869485,-32.92824247072239,"3.30","1.50","3","60.7","-28","79.9","3026","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.21","null","null","null","null","null","null","null",45,"2","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","79.4","-1.66","5.62","Trevor Bauer",576397,545333,"null","ball",,,,,"11","null","R","R","R","CIN","MIL","B","null","null",0,0,2020,"1.7","-0.4","-0.95","3.43",641924,"null",541645,1,6,"Top","null","null",,,"571466",,"null",-1.6071631523581675,-115.49600100938918,2.719408931894607,15.295403675802303,24.051388744089266,-36.14426357505314,"3.03","1.36","null","null","null","79.0","2946","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.21","null","null","null","null","null","null","null",45,"1","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","82.6","-1.36","6.04","Trevor Bauer",592885,545333,"strikeout","swinging_strike",,,,,"8","Christian Yelich strikes out swinging.  ","R","L","R","CIN","MIL","S",2,"null",1,2,2020,"0.8","-1.6","-0.02","2.14",641924,"null",541645,0,6,"Top","null","null",,,"571466",,"null",1.4440794453393946,-120.13089365097792,0.8962840011910214,7.503953410158008,28.84556678012651,-47.83193220083715,"3.28","1.72","null","null","null","81.5","3331","6.1",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.39","null","null","0.00",1,0,0,"null",44,"4","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","81.6","-1.24","5.96","Trevor Bauer",592885,545333,"null","ball",,,,,"14","null","R","L","R","CIN","MIL","B","null","null",0,2,2020,"0.8","-1.6","0.30","1.24",641924,"null",541645,0,6,"Top","null","null",,,"571466",,"null",1.8300091310085762,-118.60536294699904,-0.7006068055000916,7.3356495688377334,28.674166414989422,-47.386447305762914,"3.30","1.76","null","null","null","80.5","3380","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.30","null","null","null","null","null","null","null",44,"3","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","81.0","-1.32","6.08","Trevor Bauer",592885,545333,"null","called_strike",,,,,"1","null","R","L","R","CIN","MIL","S","null","null",0,1,2020,"0.8","-1.6","-0.54","2.95",641924,"null",541645,0,6,"Top","null","null",,,"571466",,"null",0.1261034040063853,-117.70121621986517,2.920945682209489,7.604935157329521,27.444608664116778,-47.990171818623466,"3.22","1.66","null","null","null","80.1","3054","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.22","null","null","null","null","null","null","null",44,"2","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FF","2020-09-23","94.7","-1.55","5.70","Trevor Bauer",592885,545333,"null","called_strike",,,,,"8","null","R","L","R","CIN","MIL","S","null","null",0,0,2020,"-0.9","1.6","-0.21","1.91",641924,"null",541645,0,6,"Top","null","null",,,"571466",,"null",5.568213573753538,-137.56585602047298,-7.701929594110365,-13.011241818610376,34.694773562104565,-10.531432744586576,"3.22","1.73","null","null","null","94.3","2811","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.06","null","null","null","null","null","null","null",44,"1","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FC","2020-09-23","85.1","-1.61","5.74","Trevor Bauer",541645,545333,"single","hit_into_play_no_out",,,,,"8","Avisail Garcia singles on a sharp line drive to center fielder Shogo Akiyama.   Jacob Nottingham to 3rd.  ","R","R","R","CIN","MIL","X",8,"line_drive",1,0,2020,"0.5","-0.2","-0.08","1.93","null","null",641924,0,6,"Top","115.79","69.35",,,"571466",,"null",2.672430416829097,-124.076343288773,-2.398195032453498,4.365095562238957,22.14553130999147,-33.52265296026943,"3.55","1.63","218","106.0","11","85.5","2948","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.30","0.921","0.837","0.90",1,1,0,4,43,"2","Cutter",6,1,1,6,1,6,1,6,"Standard","Standard"
"FC","2020-09-23","83.9","-1.67","5.73","Trevor Bauer",541645,545333,"null","ball",,,,,"11","null","R","R","R","CIN","MIL","B","null","null",0,0,2020,"0.5","0.2","-1.01","4.53","null","null",641924,0,6,"Top","null","null",,,"571466",,"null",0.4578558250598541,-122.22184065029602,3.1712542954916336,5.308491605462138,21.88142527387725,-30.99269350197821,"3.44","1.74","null","null","null","84.1","2967","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.33","null","null","null","null","null","null","null",43,"1","Cutter",6,1,1,6,1,6,1,6,"Standard","Standard"
"FC","2020-09-23","86.2","-1.62","5.75","Trevor Bauer",641924,545333,"field_error","hit_into_play_no_out",,,,,"6","Jacob Nottingham reaches on a throwing error by third baseman Eugenio Suarez.  ","R","R","R","CIN","MIL","X",5,"ground_ball",1,1,2020,"0.3","0.3","0.37","2.68","null","null","null",0,6,"Top","98.27","173.09",,,"571466",,"null",4.175132131052907,-125.54033675140371,-1.664599856941563,2.0686992727708846,23.516952962764645,-29.110045650837936,"3.40","1.62","15","93.9","-11","86.3","3023","6.1",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.35","0.164","0.148","0.90",1,0,0,2,42,"3","Cutter",6,1,1,6,1,6,1,6,"Standard","Standard"
"FF","2020-09-23","92.4","-1.46","5.68","Trevor Bauer",641924,545333,"null","called_strike",,,,,"6","null","R","R","R","CIN","MIL","S","null","null",1,0,2020,"-0.5","1.7","0.74","2.52","null","null","null",0,6,"Top","null","null",,,"571466",,"null",6.790922677755472,-134.26873042340733,-5.940272863361353,-8.023379578512632,28.813920010434558,-10.407936753975438,"3.44","1.68","null","null","null","92.4","2806","6.4",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.15","null","null","null","null","null","null","null",42,"2","4-Seam Fastball",6,1,1,6,1,6,1,6,"Strategic","Standard"
