"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2020-09-25","86.0","1.39","6.16","Clayton Kershaw",405395,477132,"null","foul",,,,,"7","null","R","R","L","LAD","LAA","S","null","null",3,2,2020,"-0.6","0.5","-0.35","1.91","null","null",543685,2,3,"Top","null","null",,,"605131",,"null",-2.908065063378161,-125.12573449401705,-4.812663772942685,-5.70042928419078,26.389881689519534,-26.12164824857251,"3.21","1.57","4","78.9","-36","85.8","2536","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.22","null","null","null","null","null","null","null",23,"6","Slider",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"FF","2020-09-25","90.7","1.32","6.17","Clayton Kershaw",405395,477132,"null","swinging_strike",,,,,"12","null","R","R","L","LAD","LAA","S","null","null",3,1,2020,"-0.1","1.6","0.40","4.18","null","null",543685,2,3,"Top","null","null",,,"605131",,"null",-1.9848371605984476,-132.0267456121151,-2.4513365877978086,-1.2859101633244052,29.069056394582265,-13.255563215746541,"3.21","1.57","null","null","null","90.6","2305","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.18","null","null","null","null","null","null","null",23,"5","4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"SL","2020-09-25","86.7","1.31","6.16","Clayton Kershaw",405395,477132,"null","blocked_ball",,,,,"13","null","R","R","L","LAD","LAA","B","null","null",2,1,2020,"0.0","0.6","-0.13","0.38","null","null",543685,2,3,"Top","null","null",,,"605131",,"null",-3.421545984683822,-126.09343300207411,-8.911075326259217,0.5033878492689897,24.374568812106872,-24.023726303071083,"3.21","1.57","null","null","null","86.9","2482","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.17","null","null","null","null","null","null","null",23,"4","Slider",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"FF","2020-09-25","90.8","1.30","6.16","Clayton Kershaw",405395,477132,"null","foul",,,,,"2","null","R","R","L","LAD","LAA","S","null","null",2,0,2020,"-0.1","1.3","0.26","2.88","null","null",543685,2,3,"Top","null","null",,,"605131",,"null",-2.3095363815457004,-132.12256321763795,-5.101324656645015,-1.128812811707911,28.60179884043943,-15.785302780472326,"3.21","1.57","231","72.5","34","90.5","2399","6.1",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.36","null","null","null","null","null","null","null",23,"3","4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"FF","2020-09-25","90.4","1.35","6.18","Clayton Kershaw",405395,477132,"null","ball",,,,,"3","null","R","R","L","LAD","LAA","B","null","null",1,0,2020,"-0.2","1.5","0.53","3.22","null","null",543685,2,3,"Top","null","null",,,"605131",,"null",-1.7065908666931828,-131.65520012916411,-4.552458454401494,-1.4393845738051483,27.3295795156017,-14.399279261301507,"3.18","1.56","null","null","null","90.6","2358","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.21","null","null","null","null","null","null","null",23,"2","4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"FF","2020-09-25","90.4","1.37","6.16","Clayton Kershaw",405395,477132,"null","ball",,,,,"12","null","R","R","L","LAD","LAA","B","null","null",0,0,2020,"-0.1","1.7","0.50","4.10","null","null",543685,2,3,"Top","null","null",,,"605131",,"null",-1.8344449653367785,-131.69909776400254,-2.8007124539707093,-1.3216848430232808,27.784360558518568,-12.255124988731291,"3.30","1.57","null","null","null","90.4","2323","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.32","null","null","null","null","null","null","null",23,"1","4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"SL","2020-09-25","87.4","1.64","6.13","Clayton Kershaw",543685,477132,"single","hit_into_play_no_out",,,,,"8","Anthony Rendon singles on a fly ball to right fielder Mookie Betts.  ","R","R","L","LAD","LAA","X",9,"fly_ball",0,1,2020,"-0.6","0.6","-0.22","1.79","null","null","null",2,3,"Top","144.97","101.01",,,"605131",,"null",-3.2831808568219287,-127.2171706021651,-5.650919539264128,-5.750717145343479,24.76824538691778,-24.2065321422525,"3.25","1.54","216","67.4","30","87.4","2693","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.32","0.857","0.771","0.90",1,1,0,4,22,"2","Slider",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"FF","2020-09-25","91.2","1.60","6.15","Clayton Kershaw",543685,477132,"null","called_strike",,,,,"9","null","R","R","L","LAD","LAA","S","null","null",0,0,2020,"0.0","1.7","0.66","1.98","null","null","null",2,3,"Top","null","null",,,"605131",,"null",-2.4655542844879115,-132.6528322659689,-8.269576843939982,1.113214175109565,28.582803339326453,-10.236010937226554,"3.18","1.54","null","null","null","90.9","2475","6.1",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.36","null","null","null","null","null","null","null",22,"1","4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shift","Standard"
"CU","2020-09-25","74.0","0.85","6.31","Clayton Kershaw",545361,477132,"home_run","hit_into_play_score",,,,,"8","Mike Trout homers (17) on a fly ball to left center field.   Luis Rengifo scores.    David Fletcher scores.  ","R","R","L","LAD","LAA","X","null","fly_ball",3,2,2020,"-0.3","-1.4","0.00","1.85",650859,"null",664058,2,3,"Top","61.33","38.59",,,"605131",,"null",-1.264988903466056,-107.69473142451865,0.6586570359282136,-1.90909173557101,20.55115167476506,-43.306958931858794,"3.41","1.61","407","111.4","27","73.7","2569","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.23","1.000","1.841","2.00",1,0,3,6,21,"8","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"SL","2020-09-25","87.3","1.30","6.15","Clayton Kershaw",545361,477132,"null","foul",,,,,"8","null","R","R","L","LAD","LAA","S","null","null",3,2,2020,"-0.4","0.6","-0.25","1.77",650859,"null",664058,2,3,"Top","null","null",,,"605131",,"null",-2.941341258176965,-127.14154284605087,-5.54949269517484,-3.514549120388591,26.231445781807693,-25.17911167340319,"3.41","1.61","152","104.0","8","87.3","2640","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.27","null","null","null","null","null","null","null",21,"7","Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard"
