"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-23","93.4","-1.10","5.65","Shane Bieber",673357,669456,"strikeout","foul_tip",,,,,"2","Luis Robert strikes out on a foul tip.  ","R","R","R","CLE","CWS","S",2,"null",3,2,2020,"-1.0","1.4","-0.21","3.65",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",4.481891512696979,-135.98569005863897,-2.588991097861766,-13.162349487521942,29.802980027448243,-14.065076345289713,"3.54","1.66","null","null","null","94.2","2459","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.75","null","null","0.00",1,0,0,"null",29,"7","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"KC","2020-09-23","85.4","-1.08","5.61","Shane Bieber",673357,669456,"null","blocked_ball",,,,,"14","null","R","R","R","CLE","CWS","B","null","null",2,2,2020,"0.7","-1.1","1.21","0.29",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",4.051204627328434,-124.22122705424215,-3.9013671718049716,5.99466647900102,26.39465676042723,-43.301920812217986,"3.68","1.73","null","null","null","85.4","2383","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.08","null","null","null","null","null","null","null",29,"6","Knuckle Curve",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","94.2","-1.05","5.69","Shane Bieber",673357,669456,"null","foul",,,,,"6","null","R","R","R","CLE","CWS","S","null","null",2,2,2020,"-0.7","1.6","0.45","2.68",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",5.422332271297797,-137.05392076752577,-5.699015784600489,-9.580153570350525,29.974648860265162,-10.926214330251478,"3.54","1.66","210","81.9","58","95.0","2489","6.8",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.73","null","null","null","null","null","null","null",29,"5","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"KC","2020-09-23","84.0","-1.12","5.63","Shane Bieber",673357,669456,"null","swinging_strike_blocked",,,,,"14","null","R","R","R","CLE","CWS","S","null","null",2,1,2020,"0.6","-1.2","0.09","0.37",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",1.6681716009132481,-122.37220888267012,-3.3455093848230044,5.471910361386871,24.82582487986444,-44.168102237687144,"3.54","1.66","null","null","null","84.4","2265","6.5",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.97","null","null","null","null","null","null","null",29,"4","Knuckle Curve",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","94.0","-0.98","5.69","Shane Bieber",673357,669456,"null","ball",,,,,"14","null","R","R","R","CLE","CWS","B","null","null",1,1,2020,"-0.5","1.5","1.56","1.84",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",7.813261735099888,-136.6067316586624,-7.629583123177621,-8.432915083739967,27.889537463950287,-12.020385720572294,"3.65","1.70","null","null","null","94.8","2400","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.83","null","null","null","null","null","null","null",29,"3","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","94.6","-1.03","5.66","Shane Bieber",673357,669456,"null","ball",,,,,"14","null","R","R","R","CLE","CWS","B","null","null",0,1,2020,"-0.5","1.5","1.81","1.51",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",8.459331248848065,-137.4045449028242,-8.447978901804019,-7.555247681403604,29.59039596015702,-11.970276988414643,"3.73","1.78","null","null","null","95.2","2525","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.84","null","null","null","null","null","null","null",29,"2","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","93.4","-1.12","5.69","Shane Bieber",673357,669456,"null","swinging_strike",,,,,"14","null","R","R","R","CLE","CWS","S","null","null",0,0,2020,"-0.5","1.5","0.90","2.59",650391,"null","null",2,4,"Top","null","null",,,"547379",,"null",6.367637879807713,-135.9022157952704,-5.62697794939898,-7.770674789757436,27.946173800960658,-12.363979803639536,"3.54","1.66","null","null","null","94.2","2413","6.6",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.90","null","null","null","null","null","null","null",29,"1","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"KC","2020-09-23","84.0","-1.13","5.66","Shane Bieber",543510,669456,"strikeout","swinging_strike_blocked",,,,,"14","James McCann strikes out swinging, catcher Roberto Perez to first baseman Carlos Santana.  ","R","R","R","CLE","CWS","S",2,"null",1,2,2020,"0.6","-1.3","1.00","0.18",650391,"null","null",1,4,"Top","null","null",,,"547379",,"null",3.721424732411777,-122.25079629660296,-3.6750242261593735,5.406906010601307,25.68590586808853,-44.70023088474256,"3.21","1.47","null","null","null","84.0","2265","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.10","null","null","0.00",1,0,0,"null",28,"5","Knuckle Curve",1,1,1,1,1,1,1,1,"Strategic","Standard"
"KC","2020-09-23","82.7","-1.01","5.69","Shane Bieber",543510,669456,"null","foul",,,,,"7","null","R","R","R","CLE","CWS","S","null","null",1,2,2020,"0.5","-1.2","-0.42","1.51",650391,"null","null",1,4,"Top","null","null",,,"547379",,"null",0.43260659356356757,-120.50804567105959,-0.66983027664646,4.563017420099164,23.530597279739528,-44.2086011980293,"3.21","1.47","null","null","null","82.8","1999","6.3",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.22","null","null","null","null","null","null","null",28,"4","Knuckle Curve",1,1,1,1,1,1,1,1,"Strategic","Standard"
"KC","2020-09-23","84.2","-1.18","5.66","Shane Bieber",543510,669456,"null","blocked_ball",,,,,"14","null","R","R","R","CLE","CWS","B","null","null",0,2,2020,"0.9","-1.3","0.21","0.50",650391,"null","null",1,4,"Top","null","null",,,"547379",,"null",1.3642864246702349,-122.6031895303246,-2.891854286006531,9.02597079237025,26.56645766732612,-45.17964081606358,"3.20","1.47","null","null","null","84.0","2545","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.14","null","null","null","null","null","null","null",28,"3","Knuckle Curve",1,1,1,1,1,1,1,1,"Strategic","Standard"
